product_id,price,timestamp
1,662.36,2024-05-07 20:36:37
2,699.33,2024-05-07 20:36:37
1,662.36,2024-05-07 20:36:45
1,662.36,2024-05-07 20:37:19
2,699.33,2024-05-07 20:37:19
1,662.36,2024-05-07 20:39:43
2,699.33,2024-05-07 20:39:43
1,678.16,2024-05-13 20:01:40
2,699.33,2024-05-13 20:01:40
1,678.16,2024-05-13 22:01:05
2,699.33,2024-05-13 22:01:05
1,679.75,2024-05-26 19:56:23
2,699.33,2024-05-26 19:56:23
1,662.36,2024-08-05 22:29:24
2,691.19,2024-08-05 22:29:24
1,662.36,2024-08-05 22:30:18
2,691.19,2024-08-05 22:30:18
1,662.36,2024-08-05 22:30:37
2,691.19,2024-08-05 22:30:37
1,662.36,2024-08-05 22:32:14
2,691.19,2024-08-05 22:32:14
1,662.36,2024-08-05 22:32:39
2,691.19,2024-08-05 22:32:39
1,662.36,2024-08-06 18:01:42
2,691.19,2024-08-06 18:01:42
1,662.36,2024-08-06 18:07:01
2,691.19,2024-08-06 18:07:01
1,662.36,2024-08-06 18:08:37
2,691.19,2024-08-06 18:08:37
1,662.36,2024-08-06 18:09:14
2,691.19,2024-08-06 18:09:14
1,662.36,2024-08-06 18:11:09
2,691.19,2024-08-06 18:11:09
1,662.36,2024-08-06 18:12:01
2,691.19,2024-08-06 18:12:01
1,662.36,2024-08-06 18:12:12
2,691.19,2024-08-06 18:12:12
1,662.36,2024-08-06 18:13:10
2,691.19,2024-08-06 18:13:10
1,662.36,2024-08-06 18:13:47
2,691.19,2024-08-06 18:13:47
1,662.36,2024-08-06 18:59:10
2,691.19,2024-08-06 18:59:10
1,662.36,2024-08-06 18:59:21
2,691.19,2024-08-06 18:59:21
1,662.36,2024-08-06 19:01:25
2,691.19,2024-08-06 19:01:25
1,662.36,2024-08-06 19:01:42
2,691.19,2024-08-06 19:01:42
1,662.36,2024-08-06 19:02:06
2,691.19,2024-08-06 19:02:06
1,662.36,2024-08-06 19:02:20
2,691.19,2024-08-06 19:02:20
1,662.36,2024-08-06 19:08:42
2,691.19,2024-08-06 19:08:42
1,662.36,2024-08-06 19:10:03
2,691.19,2024-08-06 19:10:03
1,662.36,2024-08-06 20:22:50
2,691.19,2024-08-06 20:22:50
